DOMAIN,TERM,FREQUENCY
MEMORY,face,22346
MEMORY,memory,4997
MEMORY,recall,3171
MEMORY,fear,1692
MEMORY,picture,1075
MEMORY,emotion,1053
MEMORY,arousal,737
MEMORY,recognition,388
MEMORY,retrieval,177
MEMORY,remembering,167
MEMORY,facial_expression,160
MEMORY,episodic_memory,26
MEMORY,source_memory,5
MEMORY,recognition_memory,5
MEMORY,encoding,5
MEMORY,valence,1
REWARD,loss,23900
REWARD,decision_making,1914
REWARD,taste,909
REWARD,arousal,737
REWARD,addiction,624
REWARD,anticipation,394
REWARD,expectancy,132
REWARD,reward,39
REWARD,gambling,25
REWARD,valence,1
REACTION_TIME,pain,171507
REACTION_TIME,goal,46379
REACTION_TIME,monitoring,8943
REACTION_TIME,decision,4152
REACTION_TIME,strategy,3655
REACTION_TIME,context,2442
REACTION_TIME,decision_making,1914
REACTION_TIME,arousal,737
REACTION_TIME,anticipation,394
REACTION_TIME,retrieval,177
REACTION_TIME,expectancy,132
REACTION_TIME,reaction_time,68
REACTION_TIME,reward,39
REACTION_TIME,valence,1
MANIPULATION,hand,19353
MANIPULATION,movement,14961
MANIPULATION,monitoring,8943
MANIPULATION,attention,4158
MANIPULATION,strategy,3655
MANIPULATION,action,2360
MANIPULATION,manipulation,362
MANIPULATION,grasp,253
MANIPULATION,working_memory,118
MANIPULATION,grasping,73
MANIPULATION,reaction_time,68
MANIPULATION,execution,62
MANIPULATION,rehearsal,29
MANIPULATION,representation,21
MANIPULATION,covert,14
VISION,vision,10174
VISION,recognition,388
VISION,retrieval,177
VISION,object_recognition,37
VISION,visual_perception,22
VISION,familiarity,7
HEARING,speech,12902
HEARING,hearing,9990
HEARING,listening,559
HEARING,speech_perception,20
