,NEGATIVE_VALENCE,POSITIVE_VALENCE,COGNITIVE_SYSTEMS,SOCIAL_PROCESSES,AROUSAL_REGULATION,SENSORIMOTOR_SYSTEMS
1,0.757198541,0.193006378,0.146415205,0.273853247,0.514204143,0.970780743
2,0.43107523,0.142984132,0.848823332,0.666762196,0.968423495,0.025506633
3,0.486589625,0.753396677,0.316909303,0.554892259,0.68333596,0.696430781
4,0.473880435,0.374841586,0.135167401,0.219291507,0.646444133,0.398482684
5,0.003619878,0.851294571,0.317645088,0.206031178,0.280735121,0.117110332
6,0.935582606,0.305249758,0.687775536,0.687555015,0.650662527,0.247251085
7,0.170026332,0.414819711,0.935488034,0.560625844,0.131591519,0.850867249
8,0.654173582,0.653845844,0.743163493,0.214429574,0.793759717,0.56146954
9,0.267933146,0.740489825,0.622428633,0.247585411,0.721303065,0.334085552
10,0.190686294,0.405384911,0.991860205,0.789298954,0.29646524,0.528131752
11,0.698934083,0.133700061,0.644378008,0.780575303,0.542365212,0.837978816
12,0.076904957,0.581620416,0.682437025,0.331667223,0.050255918,0.782934543
13,0.853330164,0.258343713,0.436189613,0.921800165,0.972023019,0.648548268
14,0.319101069,0.262233087,0.97742859,0.133242623,0.029221272,0.697810234
15,0.155678586,0.677383611,0.407097609,0.546762422,0.844917269,0.808810906
16,0.702348009,0.441864686,0.263443231,0.315961686,0.931959836,0.310336838
17,0.118510006,0.933253592,0.925113969,0.297771292,0.51601607,0.816982924
18,0.715248409,0.606995033,0.176621781,0.078724813,0.290403288,0.702001519
19,0.668971256,0.931470909,0.57608805,0.757782559,0.937876146,0.283690998
20,0.243506576,0.964217719,0.286533889,0.742901277,0.419424393,0.226932666
21,0.372973279,0.183327819,0.387727055,0.683305914,0.667628001,0.564877549
22,0.338493901,0.718974178,0.106119178,0.176793067,0.811419235,0.861197661
23,0.221296974,0.119690647,0.119303596,0.255169837,0.468652147,0.719598489
24,0.108306991,0.995188052,0.760220119,0.596128809,0.583207437,0.321761553
25,0.319475682,0.137873015,0.288911715,0.768729305,0.046996798,0.900793417
26,0.397479187,0.039663727,0.341508367,0.72913255,0.085656171,0.881168717
27,0.732192206,0.188867596,0.939603787,0.836298839,0.157752737,0.230803083
28,0.604430846,0.887171159,0.286599995,0.890244672,0.633302914,0.14149338
29,0.948516147,0.594985676,0.067381807,0.760419136,0.788238422,0.385513582
30,0.285807907,0.135884908,0.027038481,0.204957312,0.468481495,0.347125839
31,0.933294024,0.427809257,0.708880201,0.364761484,0.138432228,0.776425849
32,0.338466556,0.770611723,0.408861216,0.100494186,0.270522668,0.204065588
33,0.77470181,0.153895854,0.045408435,0.930514809,0.824774342,0.682088524
34,0.897622767,0.697231946,0.181660733,0.307626957,0.740274887,0.242091394
35,0.63271999,0.900904201,0.736730195,0.941309344,0.702529422,0.717791982
